iter	Passed	Remaining
0	326	326244
1	343	171475
2	353	117603
3	364	90726
4	374	74461
5	384	63704
6	393	55864
7	403	50009
8	412	45471
9	423	41883
10	432	38914
11	442	36436
12	452	34361
13	462	32541
14	473	31106
15	483	29728
16	494	28573
17	503	27480
18	513	26515
19	522	25609
20	532	24833
21	542	24103
22	551	23421
23	561	22839
24	571	22296
25	581	21783
26	591	21314
27	601	20874
28	611	20487
29	621	20099
30	631	19732
31	643	19472
32	654	19176
33	664	18870
34	673	18573
35	682	18285
36	692	18034
37	703	17801
38	713	17587
39	723	17368
40	733	17156
41	743	16948
42	752	16752
43	762	16577
44	774	16427
45	784	16274
46	794	16117
47	805	15970
48	816	15841
49	826	15710
50	837	15583
51	846	15441
52	856	15303
53	867	15190
54	877	15070
55	886	14940
56	896	14835
57	907	14739
58	919	14658
59	930	14570
60	940	14479
61	950	14373
62	960	14284
63	969	14185
64	979	14093
65	989	14003
66	998	13911
67	1008	13821
68	1017	13735
69	1028	13661
70	1037	13577
71	1047	13495
72	1056	13412
73	1065	13331
74	1074	13253
75	1084	13188
76	1096	13147
77	1106	13082
78	1115	13010
79	1125	12941
80	1134	12874
81	1145	12822
82	1155	12764
83	1164	12703
84	1174	12647
85	1184	12588
86	1205	12646
87	1225	12699
88	1241	12707
89	1255	12691
90	1269	12678
91	1282	12653
92	1293	12617
93	1305	12586
94	1320	12575
95	1332	12550
96	1343	12507
97	1354	12469
98	1365	12424
99	1376	12390
100	1386	12342
101	1396	12298
102	1410	12282
103	1420	12240
104	1431	12197
105	1441	12154
106	1453	12131
107	1468	12126
108	1478	12086
109	1489	12050
110	1500	12013
111	1511	11987
112	1523	11961
113	1534	11929
114	1544	11887
115	1555	11851
116	1566	11819
117	1579	11803
118	1589	11764
119	1599	11730
120	1610	11699
121	1620	11663
122	1632	11638
123	1644	11615
124	1654	11581
125	1664	11548
126	1674	11511
127	1685	11481
128	1695	11448
129	1704	11409
130	1714	11372
131	1725	11348
132	1735	11316
133	1745	11282
134	1756	11251
135	1766	11221
136	1776	11192
137	1786	11161
138	1797	11135
139	1807	11105
140	1818	11081
141	1830	11059
142	1841	11033
143	1850	10998
144	1859	10964
145	1870	10938
146	1881	10915
147	1891	10887
148	1901	10859
149	1910	10828
150	1921	10801
151	1931	10774
152	1941	10747
153	1952	10726
154	1962	10698
155	1974	10683
156	1986	10666
157	1997	10647
158	2007	10617
159	2017	10592
160	2027	10567
161	2037	10540
162	2048	10520
163	2059	10496
164	2069	10472
165	2078	10444
166	2088	10417
167	2098	10390
168	2107	10361
169	2116	10334
170	2126	10308
171	2136	10287
172	2146	10260
173	2156	10235
174	2165	10209
175	2175	10187
176	2186	10166
177	2197	10149
178	2208	10130
179	2218	10105
180	2228	10082
181	2238	10059
182	2249	10043
183	2260	10025
184	2271	10005
185	2288	10017
186	2300	10003
187	2311	9983
188	2321	9959
189	2331	9939
190	2341	9915
191	2352	9898
192	2363	9882
193	2375	9867
194	2393	9880
195	2410	9888
196	2429	9900
197	2445	9906
198	2461	9908
199	2478	9913
200	2493	9910
201	2504	9894
202	2515	9875
203	2527	9860
204	2537	9839
205	2546	9815
206	2556	9794
207	2567	9777
208	2578	9758
209	2588	9737
210	2599	9720
211	2609	9699
212	2618	9675
213	2628	9654
214	2639	9635
215	2648	9613
216	2658	9593
217	2668	9573
218	2677	9550
219	2687	9529
220	2697	9507
221	2707	9488
222	2717	9468
223	2727	9447
224	2739	9437
225	2750	9418
226	2760	9399
227	2769	9377
228	2780	9362
229	2791	9344
230	2801	9325
231	2810	9304
232	2819	9281
233	2829	9262
234	2839	9243
235	2848	9221
236	2858	9201
237	2867	9181
238	2876	9160
239	2887	9142
240	2896	9122
241	2906	9103
242	2916	9085
243	2926	9067
244	2937	9052
245	2947	9034
246	2957	9016
247	2967	8997
248	2978	8982
249	2988	8966
250	2999	8951
251	3009	8931
252	3018	8913
253	3029	8896
254	3039	8880
255	3050	8864
256	3059	8845
257	3069	8827
258	3080	8812
259	3090	8795
260	3100	8777
261	3110	8760
262	3120	8744
263	3131	8729
264	3141	8714
265	3151	8695
266	3160	8676
267	3170	8658
268	3180	8641
269	3189	8624
270	3199	8607
271	3209	8589
272	3219	8572
273	3228	8555
274	3238	8537
275	3247	8518
276	3256	8499
277	3265	8481
278	3276	8466
279	3285	8449
280	3296	8433
281	3306	8417
282	3315	8401
283	3326	8385
284	3337	8372
285	3347	8357
286	3357	8341
287	3367	8324
288	3376	8307
289	3386	8292
290	3396	8275
291	3405	8258
292	3416	8244
293	3427	8229
294	3437	8215
295	3446	8198
296	3456	8181
297	3465	8164
298	3477	8152
299	3487	8137
300	3496	8120
301	3507	8106
302	3517	8091
303	3529	8081
304	3540	8067
305	3551	8055
306	3562	8040
307	3573	8027
308	3585	8017
309	3595	8003
310	3605	7988
311	3615	7971
312	3625	7956
313	3635	7943
314	3646	7929
315	3656	7914
316	3665	7897
317	3674	7881
318	3684	7866
319	3694	7850
320	3704	7835
321	3713	7819
322	3722	7802
323	3732	7788
324	3744	7777
325	3754	7762
326	3764	7746
327	3773	7730
328	3783	7716
329	3794	7703
330	3804	7689
331	3815	7677
332	3826	7664
333	3836	7649
334	3847	7637
335	3858	7624
336	3869	7611
337	3879	7598
338	3891	7587
339	3901	7572
340	3910	7557
341	3919	7541
342	3930	7528
343	3939	7513
344	3948	7497
345	3958	7483
346	3969	7470
