iter	Logloss
0	0.6870649065
1	0.6809732928
2	0.6752805001
3	0.6695074463
4	0.6641730172
5	0.6584520612
6	0.6533583287
7	0.6484942627
8	0.6435903495
9	0.6385522897
10	0.6333462524
11	0.6281002372
12	0.6232506452
13	0.6180248152
14	0.6135428728
15	0.6092980085
16	0.6047977121
17	0.6000767299
18	0.5957218279
19	0.591244376
20	0.5876659284
21	0.5837831334
22	0.5798483712
23	0.5758684431
24	0.572033735
25	0.568097447
26	0.564493103
27	0.5607377407
28	0.5573502023
29	0.5541585868
30	0.5504699707
31	0.5475241525
32	0.5441168213
33	0.5405344064
34	0.5374636841
35	0.5343522426
36	0.5314940534
37	0.5283054025
38	0.5252542986
39	0.5221258981
40	0.5193714687
41	0.5165503802
42	0.5135658918
43	0.5107455444
44	0.5083043998
45	0.5057393973
46	0.5030631801
47	0.5002107893
48	0.4979953439
49	0.495554112
50	0.4932747977
51	0.4911580985
52	0.4891235788
53	0.4869888742
54	0.4849161203
55	0.4824121094
56	0.4802984619
57	0.4778519113
58	0.4758449881
59	0.473924081
60	0.4720828247
61	0.469748012
62	0.4679094151
63	0.4659147862
64	0.4638947841
65	0.4620394461
66	0.460007237
67	0.4584079415
68	0.4568106951
69	0.454644819
70	0.4530606515
71	0.451277989
72	0.4495404489
73	0.4480870274
74	0.4466434588
75	0.4447208949
76	0.443389413
77	0.4425395857
78	0.4411776297
79	0.4399174717
80	0.4382183838
81	0.4368044608
82	0.4355277797
83	0.4339994594
84	0.4325057111
85	0.4307255772
86	0.4295377895
87	0.4281820679
88	0.4268654088
89	0.42540802
90	0.4240272304
91	0.4226899501
92	0.4210174125
93	0.4199510847
94	0.4188453892
95	0.4180965751
96	0.4168246024
97	0.4156729562
98	0.4145703997
99	0.4135316685
100	0.4122152274
101	0.4112334333
102	0.4100042725
103	0.4090012905
104	0.4082117571
105	0.4073122733
106	0.4062063163
107	0.4050259835
108	0.4036866106
109	0.4023867798
110	0.4018177141
111	0.4008460781
112	0.3996636091
113	0.3982183838
114	0.3971000889
115	0.3962876238
116	0.3956828962
117	0.3948903111
118	0.3939790998
119	0.392752424
120	0.3916268049
121	0.3907183838
122	0.3900944301
123	0.3889317976
124	0.3881770979
125	0.3875098964
126	0.3865985107
127	0.3859135655
128	0.385625
129	0.3843818883
130	0.3839666748
131	0.3832986886
132	0.3822578648
133	0.3813168771
134	0.3806305804
135	0.3795039586
136	0.3785264369
137	0.3778233991
138	0.3768004499
139	0.3758049665
140	0.3751425607
141	0.3741119385
142	0.3732359096
143	0.3723220389
144	0.3715551758
145	0.3709392003
146	0.370137983
147	0.3692098563
148	0.3683281163
149	0.3677479771
150	0.3670706177
151	0.3665292794
152	0.3656444877
153	0.364838126
154	0.3642665318
155	0.363681379
156	0.3625614275
157	0.3620653425
158	0.3615079389
159	0.3608559963
160	0.3601552691
161	0.3594871957
162	0.3586389378
163	0.357938276
164	0.3573700823
165	0.3569214957
166	0.3560645839
167	0.3554354204
168	0.3549149867
169	0.3543419538
170	0.353445282
171	0.3527128165
172	0.3522816249
173	0.3517368644
174	0.3510103498
175	0.3504373169
176	0.3498150635
177	0.3492868696
178	0.3487748936
179	0.3479682704
180	0.3475109645
181	0.3469839478
182	0.3463016183
183	0.3459204538
184	0.3452162824
185	0.3447882952
186	0.3443976266
187	0.3439735195
188	0.3435899353
189	0.3433092608
190	0.3426188006
191	0.3419013541
192	0.3413051496
193	0.3409230259
194	0.3404064505
195	0.3398160444
196	0.3393420192
197	0.3386655535
198	0.3381920515
199	0.3377162824
200	0.3370886666
201	0.3367140416
202	0.3359935216
203	0.3352314104
204	0.3347916957
205	0.3341090175
206	0.3339089312
207	0.3337489973
208	0.3333064924
209	0.3327187674
210	0.3320351301
211	0.3315741839
212	0.3309827532
213	0.3302305385
214	0.329819118
215	0.3290729632
216	0.3283643886
217	0.3279151699
218	0.3272433908
219	0.3268480137
220	0.3264722552
221	0.3259472438
222	0.3256308419
223	0.3253336879
224	0.324843859
225	0.3246935163
226	0.3242076765
227	0.3235045079
228	0.3228778294
229	0.3225016567
230	0.3220552499
231	0.3216439819
232	0.321222229
233	0.3208867972
234	0.3205205863
235	0.3200778416
236	0.3194779314
237	0.3192253113
238	0.3189542716
239	0.3185783822
240	0.3180188424
241	0.3177124241
242	0.3174288504
243	0.3170767866
244	0.3165993173
245	0.3160837228
246	0.315557469
247	0.3150574384
248	0.314662868
249	0.3141538348
250	0.3136356463
251	0.3132866124
252	0.3127539934
253	0.3121744428
254	0.3117956979
255	0.3113112967
256	0.310769261
257	0.3102440752
258	0.3098592268
259	0.3096161761
260	0.3091978891
261	0.3089600481
262	0.3083644322
263	0.3077800642
264	0.3074132647
265	0.3070721436
266	0.3067177909
267	0.3063253348
268	0.3058774022
269	0.3053793335
270	0.3049082729
271	0.3042720686
272	0.303986642
273	0.3034595163
274	0.3028666469
275	0.3025039673
276	0.301955937
277	0.3015903146
278	0.3011621966
279	0.3007979911
280	0.300438058
281	0.3000313023
282	0.2995597621
283	0.2991012137
284	0.2988044957
285	0.2985976737
286	0.2983498056
287	0.2980182975
288	0.297560512
289	0.2972460284
290	0.2968339321
291	0.2963248553
292	0.2957414682
293	0.2949982343
294	0.2944762312
295	0.2941260202
296	0.2937296186
297	0.2934225464
298	0.2928732736
299	0.2923809378
300	0.2919096592
301	0.2914745222
302	0.291025783
303	0.2906474086
304	0.2903151594
305	0.2899319022
306	0.2896072824
307	0.2893343898
308	0.2888747951
309	0.2884392439
310	0.2881441607
311	0.28767916
312	0.2873573303
313	0.2869787162
314	0.2865873282
315	0.2860119193
316	0.2856529454
317	0.2852606637
318	0.2846444702
319	0.284425245
320	0.2840749032
321	0.2836696952
322	0.2832389832
323	0.2829629517
324	0.2826269095
325	0.2823253741
326	0.2821068028
327	0.2817261614
328	0.2814128767
329	0.2810263933
330	0.2807553755
331	0.2804006522
332	0.2799635969
333	0.2797120449
334	0.2792947824
335	0.2790126256
336	0.2786841692
337	0.2783673314
338	0.2781419591
339	0.2776011876
340	0.2770746286
341	0.2768787711
342	0.2766665213
343	0.2762670462
344	0.2757343401
345	0.2753797259
346	0.2751299177
347	0.2747549874
348	0.2744029454
349	0.2741479928
350	0.2737961033
351	0.273384443
352	0.272943682
353	0.2724465506
354	0.2721969822
355	0.2718151855
356	0.2713036237
357	0.2708466448
358	0.2705944388
359	0.2702845764
360	0.2697693743
361	0.2695634678
362	0.2693244934
363	0.2690862819
364	0.2687200928
365	0.2684683881
366	0.2681291853
367	0.267651498
368	0.2675397164
369	0.2670974949
370	0.2667385428
371	0.2663814
372	0.2659126064
373	0.2654914202
374	0.2651016235
375	0.2647595651
376	0.2646165466
377	0.2642670986
378	0.2637727356
379	0.2633067104
380	0.2629041835
381	0.2626544407
382	0.2621104867
383	0.2617563302
384	0.2614106533
385	0.260947004
386	0.2605242048
387	0.260044948
388	0.2597479466
389	0.2594742693
390	0.259186227
391	0.2588159616
392	0.258410274
393	0.2580443246
394	0.2576849583
395	0.2572988674
396	0.256839774
397	0.2564425659
398	0.2562410409
399	0.2559701974
400	0.2557162476
401	0.2554348319
402	0.2550932094
403	0.2547892107
404	0.2541468375
405	0.2538682338
406	0.2535814558
407	0.2532020351
408	0.2529219273
409	0.2526301357
410	0.2521908787
411	0.2517837306
412	0.2514883859
413	0.2511226981
414	0.2507288252
415	0.2503263855
416	0.2501849365
417	0.2499403817
418	0.2494975499
419	0.248944615
420	0.2486900548
421	0.2484500122
422	0.2482037136
423	0.2478066581
424	0.247457319
425	0.2470091902
426	0.2464424569
427	0.2460194179
428	0.245679888
429	0.2453790719
430	0.2452342878
431	0.2449437605
432	0.244672372
433	0.2443851144
434	0.2440056719
435	0.2436612374
436	0.2431645203
437	0.2429250663
438	0.2425811332
439	0.2421425302
440	0.2418484933
441	0.2416438947
442	0.2413811384
443	0.2411164202
444	0.2408519636
445	0.2405594308
446	0.2403788975
447	0.2400613403
448	0.2398473249
449	0.2395729719
450	0.239125824
451	0.2387761579
452	0.2385342407
453	0.2381663513
454	0.2378959002
455	0.2375644357
456	0.2371347482
457	0.2369538225
458	0.2367499215
459	0.2363721357
460	0.2360944475
461	0.2357337298
462	0.2355602373
463	0.2351989746
464	0.2347142683
465	0.2344334194
466	0.2339878191
467	0.2336225237
468	0.233228084
469	0.2329475621
470	0.2327375575
471	0.2325747245
472	0.2323723929
473	0.2320930263
474	0.231834368
475	0.2316228158
476	0.2310733904
477	0.2307276481
478	0.2303908648
479	0.2300937544
480	0.2296530587
481	0.2293564715
482	0.2289374215
483	0.228668736
484	0.2283988299
485	0.2281670707
486	0.2278034755
487	0.2274463327
488	0.2271475874
489	0.2268041992
490	0.2262945557
491	0.2261008998
492	0.2258312116
493	0.2254227557
494	0.2250771005
495	0.2247216361
496	0.2244447545
497	0.2241748701
498	0.2239589582
499	0.2236767578
500	0.223439876
501	0.2232320295
502	0.2227160209
503	0.2224780273
504	0.2222141375
505	0.2219285801
506	0.2214711217
507	0.2211689758
508	0.2209404864
509	0.2206546021
510	0.2203208269
511	0.2199909755
512	0.2197647967
513	0.2195588684
514	0.219288984
515	0.218923645
