iter	Passed	Remaining
0	190	190408
1	199	99429
2	205	68251
3	210	52398
4	216	43087
5	221	36738
6	226	32198
7	230	28621
8	236	26002
9	241	23920
10	247	22250
11	253	20846
12	258	19646
13	264	18617
14	269	17697
15	274	16898
16	280	16207
17	285	15559
18	290	15004
19	295	14499
20	300	14028
21	306	13611
22	310	13195
23	315	12833
24	330	12893
25	335	12573
26	340	12270
27	345	11987
28	350	11728
29	355	11483
30	360	11256
31	365	11042
32	369	10839
33	374	10653
34	379	10469
35	385	10317
36	391	10186
37	396	10047
38	402	9910
39	407	9790
40	413	9668
41	418	9554
42	424	9443
43	430	9352
44	436	9269
45	443	9188
46	448	9089
47	453	8987
48	457	8888
49	462	8794
50	467	8708
51	472	8620
52	477	8537
53	483	8464
54	488	8387
55	493	8313
56	498	8239
57	503	8169
58	508	8104
59	513	8038
60	518	7978
61	523	7917
62	528	7858
63	533	7798
64	538	7740
65	543	7684
66	547	7628
67	552	7578
68	558	7529
69	562	7477
70	567	7431
71	572	7384
72	577	7337
73	582	7290
74	588	7252
75	593	7219
76	599	7184
77	604	7147
78	610	7111
79	615	7082
80	621	7055
81	627	7024
82	632	6986
83	637	6948
84	642	6912
85	647	6876
86	651	6840
87	656	6804
88	661	6773
89	666	6739
90	671	6710
91	676	6680
92	681	6649
93	686	6619
94	691	6591
95	696	6561
96	701	6532
97	706	6502
98	711	6474
99	716	6446
100	721	6418
101	725	6391
102	730	6364
103	735	6339
104	740	6313
105	745	6287
106	750	6261
107	755	6238
108	760	6214
109	765	6192
110	770	6169
111	775	6146
112	780	6125
113	786	6109
114	791	6091
115	797	6074
116	802	6059
117	809	6050
118	816	6041
119	822	6028
120	828	6016
121	833	6001
122	839	5987
123	846	5979
124	852	5969
125	858	5957
126	863	5939
127	869	5921
128	874	5903
129	879	5887
130	884	5870
131	889	5851
132	894	5834
133	900	5816
134	905	5799
135	910	5783
136	915	5766
137	920	5749
138	924	5728
139	929	5712
140	934	5695
141	939	5678
142	944	5661
143	949	5645
144	954	5628
145	959	5612
146	964	5596
147	969	5581
148	975	5570
149	981	5560
150	986	5546
151	992	5534
152	997	5523
153	1003	5510
154	1009	5502
155	1015	5491
156	1021	5483
157	1026	5469
158	1031	5455
159	1036	5441
160	1041	5427
161	1046	5412
162	1051	5398
163	1056	5385
164	1061	5372
165	1066	5358
166	1071	5345
167	1076	5332
168	1081	5319
169	1086	5306
170	1091	5293
171	1096	5279
172	1101	5266
173	1106	5253
174	1111	5241
175	1116	5228
176	1121	5215
177	1126	5202
178	1131	5189
179	1136	5177
180	1141	5164
181	1146	5152
182	1151	5142
183	1156	5130
184	1162	5120
185	1167	5108
186	1172	5096
187	1177	5086
188	1183	5080
189	1190	5075
190	1196	5068
191	1202	5058
192	1207	5050
193	1213	5043
194	1221	5040
195	1226	5030
196	1231	5020
197	1237	5012
198	1242	5001
199	1248	4993
200	1253	4982
201	1258	4971
202	1263	4962
203	1269	4954
204	1274	4943
205	1279	4932
206	1284	4922
207	1289	4911
208	1294	4900
209	1300	4892
210	1305	4882
211	1311	4873
212	1316	4863
213	1321	4853
214	1326	4844
215	1332	4836
216	1337	4826
217	1342	4816
218	1348	4807
219	1353	4798
220	1358	4789
221	1363	4780
222	1369	4771
223	1375	4766
224	1382	4761
225	1395	4780
226	1401	4773
227	1408	4767
228	1414	4762
229	1419	4753
230	1425	4744
231	1431	4738
232	1436	4729
233	1441	4718
234	1447	4710
235	1452	4700
236	1457	4692
237	1463	4684
238	1467	4674
239	1472	4663
240	1477	4654
241	1483	4646
242	1488	4636
243	1493	4626
244	1498	4617
245	1503	4609
246	1509	4600
247	1514	4592
248	1519	4582
249	1524	4572
250	1529	4563
251	1534	4555
252	1539	4545
253	1544	4536
254	1549	4528
255	1555	4520
256	1560	4510
257	1565	4502
258	1570	4493
259	1576	4485
260	1582	4481
261	1588	4475
262	1594	4467
263	1600	4461
264	1606	4454
265	1611	4445
266	1616	4438
267	1621	4430
268	1627	4423
269	1633	4415
270	1638	4407
271	1643	4400
272	1649	4391
273	1653	4382
274	1658	4373
275	1664	4365
276	1669	4357
277	1674	4348
278	1679	4341
279	1685	4333
280	1690	4325
281	1695	4317
282	1700	4308
283	1705	4299
284	1710	4292
285	1716	4285
286	1721	4277
287	1726	4269
288	1732	4261
289	1737	4253
290	1742	4245
291	1748	4238
292	1753	4231
293	1758	4223
294	1763	4214
295	1768	4207
296	1775	4203
297	1782	4198
298	1787	4191
299	1793	4185
300	1800	4181
301	1806	4174
302	1812	4168
303	1817	4160
304	1822	4152
305	1828	4146
306	1833	4139
307	1838	4131
308	1843	4123
309	1848	4114
310	1853	4107
311	1859	4099
312	1864	4091
313	1869	4084
314	1875	4078
315	1880	4070
316	1885	4063
317	1891	4055
318	1895	4047
319	1901	4039
