iter	Passed	Remaining
0	12	12707
1	24	12138
2	34	11584
3	44	11088
4	54	10787
5	63	10508
6	72	10301
7	81	10080
8	90	9971
9	99	9832
10	108	9716
11	117	9645
12	127	9657
13	136	9634
14	145	9580
15	155	9568
16	163	9479
17	170	9281
18	176	9102
19	182	8954
20	188	8801
21	194	8665
22	201	8541
23	207	8425
24	213	8310
25	218	8190
26	224	8083
27	229	7982
28	235	7892
29	241	7800
30	246	7717
31	253	7656
32	259	7595
33	265	7539
34	270	7464
35	276	7397
36	281	7337
37	287	7272
38	292	7216
39	298	7156
40	303	7104
41	309	7054
42	314	7007
43	320	6958
44	325	6914
45	331	6876
46	337	6835
47	342	6802
48	348	6759
49	353	6722
50	359	6686
51	364	6649
52	370	6614
53	375	6584
54	381	6555
55	387	6525
56	392	6496
57	398	6469
58	404	6443
59	409	6417
60	414	6387
61	420	6366
62	426	6345
63	432	6323
64	438	6304
65	443	6280
66	449	6257
67	455	6237
68	460	6212
69	466	6193
70	471	6174
71	477	6154
72	482	6132
73	488	6111
74	493	6091
75	499	6071
76	504	6050
77	510	6030
78	515	6011
79	521	5993
80	526	5977
81	532	5960
82	537	5942
83	543	5924
84	548	5906
85	554	5890
86	559	5872
87	565	5856
88	570	5843
89	576	5826
90	581	5810
91	587	5797
92	592	5782
93	598	5766
94	603	5753
95	609	5742
96	615	5731
97	621	5717
98	626	5702
99	632	5688
100	637	5674
101	643	5664
102	648	5650
103	654	5638
104	660	5627
105	665	5615
106	671	5601
107	676	5590
108	682	5576
109	687	5563
110	692	5550
111	698	5538
112	704	5527
113	709	5514
114	714	5502
115	720	5490
116	725	5478
117	731	5466
118	736	5456
119	742	5446
120	748	5436
121	753	5424
122	759	5414
123	764	5403
124	770	5391
125	775	5379
126	781	5370
127	786	5361
128	792	5350
129	795	5323
130	800	5312
131	806	5302
132	812	5294
133	817	5286
134	823	5275
135	828	5264
136	834	5254
137	839	5244
138	845	5236
139	850	5227
140	856	5218
141	862	5209
142	867	5199
143	873	5189
144	878	5179
145	883	5169
146	889	5160
147	895	5154
148	900	5145
149	906	5137
150	911	5127
151	917	5118
152	922	5108
153	928	5099
154	933	5091
155	939	5082
156	945	5075
157	951	5071
158	957	5064
159	963	5057
160	969	5050
161	974	5042
162	980	5034
163	985	5025
164	991	5017
165	996	5008
166	1002	4998
167	1007	4989
168	1013	4981
169	1018	4973
170	1024	4968
171	1030	4961
172	1036	4952
173	1041	4945
174	1047	4937
175	1052	4929
176	1058	4921
177	1064	4913
178	1069	4905
179	1075	4897
180	1080	4889
181	1086	4881
182	1091	4874
183	1097	4868
184	1103	4862
185	1109	4855
186	1115	4848
187	1120	4841
188	1126	4833
189	1132	4828
190	1138	4822
191	1144	4814
192	1150	4809
193	1156	4803
194	1161	4796
